"id","prob_A","prob_B","prob_C","prob_D","prob_E"
1,0.14838687841205,0.383235112190909,0.311969721035069,0.132972266496691,0.0234360218652814
2,0,0.14838687841205,0.555272205816865,0.0951243944365965,0.201216521334488
3,0.121894934767833,0.423439880653403,0.294447049522245,0.0143394605905106,0.145878674466008
4,0.525637516839948,0.272877836681839,0.042985862248952,0.15849878422926,0
5,0.215894772064413,0.282294566468538,0.295747581184611,0.206063080282437,0
6,0.0492877766603875,0.447920636683715,0.494436599828397,0.0083549868275,0
7,0.0349483160698769,0.279736956707329,0.394899092849074,0.29041563437372,0
8,0.264581628366679,0.490470232328372,0.14377367466026,0.101174464644689,0
9,0.107359520664361,0.156687933444451,0.715232075768044,0.0207204701231441,0
10,0,0.0727961881299715,0.331665137001245,0.57481820474564,0.0207204701231441
11,0.566427028854924,0.210044985085322,0.223527986059754,0,0
12,0,0,0.0207204701231441,0.699051735267352,0.280227794609504
13,0.39789428967369,0.157890316668525,0.151382905766252,0.292832487891534,0
14,0,0,0,0.198359293626976,0.801640706373024
15,0,0,0,0.441197592571067,0.558802407428933
16,0.0143394605905106,0.14838687841205,0.140561524738858,0.412536054009543,0.284176082249038
17,0,0.14838687841205,0,0.584781832630819,0.266831288957131
18,0.0207204701231441,0.365243692486018,0.614035837390838,0,0
19,0,0.159457416981687,0.101174464644689,0.0871356487204821,0.652232469653142
20,0,0.288441657078853,0.310133851635389,0.401424491285758,0
21,0,0.027562568989134,0.0884181478414261,0.303030420784896,0.580988862384544
22,0,0.206063080282437,0.462170397118158,0.242545846936999,0.0892206756624061
23,0,0,0,0.808091971731395,0.191908028268605
24,0,0,0.241123010996092,0.428164470989698,0.33071251801421
25,0.0727961881299715,0.588148401898959,0.0143394605905106,0.0234360218652814,0.301279927515277
26,0,0.0083549868275,0.368235211051876,0.309602217638339,0.313807584482286
27,0,0,0,0.567896282904664,0.432103717095336
28,0,0.169107348535194,0.266649052093825,0.506918276531518,0.0573253228394627
29,0,0.267721186955709,0.301056443490029,0.389320339974617,0.0419020295796446
30,0.171187558145461,0.695975379142968,0.132837062711571,0,0
31,0.251133195324622,0.308714249881602,0.291765676381726,0.14838687841205,0
32,0.0857025960992888,0,0.679968435896026,0.161532779874714,0.0727961881299715
33,0.0349483160698769,0.252276894798876,0.228177415922108,0.484597373209139,0
34,0,0.349603399746538,0.412299329759352,0.0349483160698769,0.203148954424233
35,0.249048942531389,0.566164492591921,0.13296547333747,0.0518210915392196,0
36,0.224540928555992,0.229261248591415,0.546197822852593,0,0
37,0.544796523716,0.0207204701231441,0.204637104327426,0.150462241305076,0.0793836605283536
38,0,0.089220675662406,0.0661605521297302,0.307237544927126,0.537381227280738
39,0.327870644872671,0.510915019155931,0.0755117398721087,0.0857025960992888,0
40,0,0.0083549868275,0.0482830391122781,0.393656073505298,0.549705900554924
41,0.191372740661002,0.230299829100006,0.252221905348125,0.305385054767723,0.0207204701231441
42,0,0.00835498682749999,0.643948035380463,0.320134408802903,0.027562568989134
43,0,0.0143394605905106,0,0.906276878881136,0.0793836605283536
44,0,0.055668786193021,0.715573686106531,0.228757527700448,0
45,0.162726339002561,0.402345197782363,0.195232047571478,0.144889461855427,0.0948069537881716
46,0,0,0,0.051340849076452,0.948659150923548
47,0,0.457934161000399,0.391603597694525,0.101174464644689,0.0492877766603875
48,0.173796877572198,0.529442661528483,0.296760460899319,0,0
49,0.0573253228394627,0.144206399493098,0.455313176923679,0.315592531754626,0.027562568989134
50,0.205320166689754,0.527033577046651,0.267646256263595,0,0
51,0.0967731346689261,0.507040704052372,0.396186161278702,0,0
52,0.0643736584154093,0.325106782888177,0.568617529116769,0.0143394605905106,0.027562568989134
53,0,0.114778053049933,0.167603141918143,0.301564671459264,0.41605413357266
54,0.061658106673272,0,0.308849324293573,0.528318104388467,0.101174464644689
55,0.027562568989134,0.428965497651718,0.14137138229231,0.236552428006741,0.165548123060098
56,0.306494631334443,0.249458835976058,0.20020796995127,0.243838562738229,0
57,0,0.101174464644689,0.361854201519242,0.27956740447718,0.257403929358889
58,0.256893158342383,0.573051691467046,0,0.0083549868275,0.161700163363072
59,0.455290846461599,0.423938775910584,0.120770377627817,0,0
60,0.289929806982046,0.481077069570263,0.101174464644689,0.061658106673272,0.0661605521297302
61,0.138110256685549,0.37972892662563,0.307237544927126,0.174923271761695,0
62,0.14838687841205,0,0.304622772775163,0.461287752713498,0.0857025960992888
63,0.120770377627817,0.101174464644689,0.469148176404103,0.28547095945811,0.0234360218652814
64,0.0349483160698769,0,0.364339396106672,0.272223632412167,0.328488655411284
65,0.456588727768303,0.319574436557511,0.223836835674186,0,0
66,0,0.0727961881299715,0.198750127134595,0.20753193442204,0.520921750313394
67,0.00835498682749999,0.677883408954102,0.278813288148521,0.0349483160698769,0
68,0,0.0207204701231441,0.0226944474180106,0.67207542333223,0.284509659126616
69,0.155718693697694,0.207597530867122,0.251764494273526,0.160534835485825,0.224384445675833
70,0.00271555174213726,0.246237431585114,0.708061154423797,0.042985862248952,0
71,0,0.042985862248952,0.148332946616951,0.423082409486867,0.38559878164723
